"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
15,493.7222222222,8,5,"Rear-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
21,386.3913043478,4,2,"Front-Wheel Drive","Regular Gasoline",28,"Automatic","Midsize Car",1993,"N","N","N"
23,341.8076923077,4,2,"Front-Wheel Drive","Regular Gasoline",31,"Manual","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,2.5,"Front-Wheel Drive","Premium Gasoline",23,"Automatic","Midsize Car",1993,"N","N","N"
18,444.35,6,2.5,"Front-Wheel Drive","Premium Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,3,"Rear-Wheel Drive","Premium Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
9,888.7,8,5.9,"Rear-Wheel Drive","Regular Gasoline",10,"Automatic","Van",1985,"N","N","N"
21,386.3913043478,4,2.2,"Front-Wheel Drive","Regular Gasoline",28,"Automatic","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,3.3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,6,3.3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.1,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.1,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,3.4,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,3.4,"Front-Wheel Drive","Regular Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
19,423.1904761905,4,2.5,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
21,386.3913043478,4,2.5,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
12,683.6153846154,6,4.9,"Rear-Wheel Drive","Regular Gasoline",15,"Automatic","Van",1985,"N","N","N"
22,355.48,4,2.5,"Front-Wheel Drive","Regular Gasoline",29,"Manual","Midsize Car",1993,"N","N","N"
18,444.35,6,3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.1,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.1,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,3.4,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
15,493.7222222222,6,3.4,"Front-Wheel Drive","Regular Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
